Gene_Symbol,Detection_Rate_%,Mean_CPM_percell_All,Mean_CPM_percell_Only_Detected,Aggregated_CPM,Cell_Type,Replicate,Dataset,Sample_ID,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Found
ALB,11.51,0.4392000138759613,3.8171000480651855,11.793999671936035,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ALDH18A1,59.24,2.45989990234375,4.152699947357178,49.620201110839844,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ALG5,69.76,3.0083000659942627,4.31220006942749,66.39959716796875,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ALG8,28.33,1.045300006866455,3.6898000240325928,13.850199699401855,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ALG9,5.01,0.17499999701976776,3.4972000122070312,1.9592000246047974,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ALK,1.24,0.04270000010728836,3.450900077819824,0.5042999982833862,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ALPK3,37.2,1.4312000274658203,3.8469998836517334,20.581300735473633,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ALPL,1.91,0.06480000168085098,3.395400047302246,0.8147000074386597,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ANK1,1.29,0.046799998730421066,3.626699924468994,0.5625,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ANKRD26,23.27,0.8776999711990356,3.771699905395508,11.115099906921387,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ANO5,3.1,0.11010000109672546,3.5559000968933105,1.1639000177383423,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
ANXA11,71.88,3.1786999702453613,4.422399997711182,79.08589935302734,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
AP1G1,40.4,1.5628000497817993,3.8680999279022217,22.734500885009766,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
