Dataset,Sample_ID,Cell_Type,Replicate,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Symbol,Detection_Rate_%,Mean_Log1pCPM_percell_All,Mean_Log1pCPM_percell_Only_Detected,Aggregated_CPM,Gene_Found
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TUBB2B,63.22,3.2365000247955322,5.119900226593018,187.05540466308594,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TUBB3,1.36,0.04690000042319298,3.4421000480651855,0.48730000853538513,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TUBB4A,27.14,1.0226000547409058,3.7681000232696533,14.44279956817627,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TUBB4B,89.37,4.695700168609619,5.254000186920166,222.8603973388672,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,TUBG1,59.84,2.411900043487549,4.030900001525879,43.09469985961914,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,UBA2,67.25,2.8125998973846436,4.182499885559082,55.432498931884766,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,UBTF,20.87,0.7560999989509583,3.6224000453948975,9.433699607849121,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,UCHL1,37.87,1.7180999517440796,4.536300182342529,68.277099609375,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,UMOD,0.0,0.0,0.0,0.0,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,UNC93B1,34.5,1.2914999723434448,3.7439000606536865,16.859699249267578,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,VAPB,45.67,1.7482999563217163,3.8282999992370605,25.377300262451172,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,VCAN,83.81,4.670899868011475,5.572800159454346,300.843994140625,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,VCL,55.97,2.348900079727173,4.196899890899658,49.81909942626953,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,VCP,87.25,4.365600109100342,5.003699779510498,160.83990478515625,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,VPS35,80.16,3.6803998947143555,4.59119987487793,98.56610107421875,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,VWF,0.16,0.005799999926239252,3.570499897003174,0.05849999934434891,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,WASHC5,11.28,0.39750000834465027,3.5236001014709473,4.541399955749512,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,WDR37,14.82,0.5246999859809875,3.539900064468384,5.78879976272583,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,WFS1,22.94,0.8371000289916992,3.648699998855591,10.758999824523926,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,WNT10A,0.38,0.012000000104308128,3.156399965286255,0.1363999992609024,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,WNT5A,3.6,0.13189999759197235,3.666599988937378,1.5398000478744507,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,WRAP53,13.02,0.45350000262260437,3.4821999073028564,5.16510009765625,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,YARS1,0.0,0.0,0.0,0.0,False
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,YY1,83.92,4.026400089263916,4.797699928283691,127.627197265625,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,ZBTB20,54.01,2.2616000175476074,4.187699794769287,46.81740188598633,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,ZCCHC8,33.13,1.2509000301361084,3.7751998901367188,16.236000061035156,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,ZIC1,0.05,0.0019000000320374966,3.512700080871582,0.019500000402331352,True
GSM5009365,GSM5009365_WA_WR_0709_4,iPSC-liver/hepatocyte,Dataset 1,500,1835,4521.0,ZMIZ1,20.71,0.7419000267982483,3.58240008354187,8.634499549865723,True
